date,Binance,FTX,Huobi,Kraken,KuCoin,OKX
2024-07-11 19:40:00,200723.1045272109644583,0,41130.8619836834167658,11573.9432743788751805,10136.295567236869801,28968.1095293848448414
2024-07-12 19:40:00,180725.8495534310624842,0,41970.9863910684146818,10735.4689499141913413,9961.3844705124672414,25413.4788586450118547
2024-07-13 19:40:00,108906.7267590079506289,0,36905.4983571550176528,4429.7976626480633455,7282.9265972152898922,18217.1847434589784688
2024-07-14 19:40:00,137444.0075521201233276,0,36401.5188529023449223,6332.86923657123268,8782.8853189806393823,23297.9144767002187037
2024-07-15 19:40:00,225325.2687612316791686,0,40559.7708910724293591,12878.2990490028180908,12230.1904944001225979,38062.9308165148722518
2024-07-16 19:40:00,294477.2691084604984012,0,47154.5553285119642387,14960.5706772724661292,15305.0243484661320953,51831.9284760185569772
2024-07-17 19:40:00,236729.0053368324282854,0,44185.3861211969098693,13241.7307970768614496,12170.754727973312332,36341.6319513601165415
2024-07-18 19:40:00,211048.512509035922952,0,42145.8775572220153184,10589.2768056123323817,10648.4077300277848081,29250.5617694951509709
2024-07-19 19:40:00,220838.3205504983537029,0,39904.9059984475753112,11020.327331196219378,11814.7632161296062889,32931.3430319290058259
2024-07-20 19:40:00,149789.3837046926776788,0,37156.6584855539349884,6358.2718203503283046,8415.6589606436981676,23253.1874773378227075
2024-07-21 19:40:00,148331.6377302614162528,0,33178.282459670924519,4873.5748434791104906,9134.6899536041625057,24546.0939174988915856
2024-07-22 19:40:00,190383.9182423767516416,0,39252.6790154051094731,10124.9785701137855073,11174.1429894277275474,28939.7926261879515813
2024-07-23 19:40:00,252867.1473038862590649,0,41412.4741262837711231,12897.3409603249407997,13628.5167149762129493,36804.0723048021382413
2024-07-24 19:40:00,179931.9684798560229613,0,40672.9076790412223143,11949.6046245089001382,9677.4721665012966876,25959.5896818614338629
2024-07-25 19:40:00,248048.4695230126481892,0,42514.8016890313283102,12238.7008010085746714,13585.6504150659926642,44234.999104014377913
2024-07-26 19:40:00,188014.7419650441310494,0,39448.4525111717981222,10988.8152534797866446,10624.0385261873079033,31749.3079381954443699
2024-07-27 19:40:00,134308.7022702473174171,0,32394.7226347502753954,6445.0812189204464634,8125.4753279745690781,22302.607333845325078
2024-07-28 19:40:00,143075.4879473163498427,0,35336.2500428424266727,6012.6116143468530183,8877.9675628645719059,23976.1547522934144579
2024-07-29 19:40:00,201313.11324566635,0,35532.507567671346,902.5225980517072,10936.816310425187,37116.97633960433
2024-07-30 19:40:00,167899.2401112611214629,0,39563.2146469201323739,9422.5429648639211396,10469.2392037892439415,25007.3288489444700377
2024-07-31 19:40:00,171538.0502858652728941,0,35079.8694843671483004,9217.0877226828791624,12504.3563699702136299,22032.7878557662894192
2024-08-01 19:40:00,289395.375181937950162,0,42817.3608663453492852,14224.8366166497755138,13811.1233629952309771,41261.4138627008826223
2024-08-02 19:40:00,285282.9870714693196045,0,43856.593119729034795,14093.0933973461024255,15441.9496212172090266,39337.4981815119416819
2024-08-03 19:40:00,257690.7799947565736218,0,44672.3679298069025373,10544.1373917123913412,12064.6440566404802771,35595.1026964328532107
2024-08-04 19:40:00,255052.8670266621772429,0,41379.916631412995904,10794.8741204289169166,12769.3540359118151261,39426.9091896421942306
2024-08-05 19:40:00,968452.1663120671568169,0,75212.325422359251584,53883.4085973195254681,40680.1253816737964132,201824.7659318501425426
2024-08-06 19:40:00,403047.4319358323070568,0,61171.014123560147783,21821.1468264233973234,17320.00704134536693,59410.9903261530017707
2024-08-07 19:40:00,371216.4009207342532419,0,47045.5523232160230143,18885.3226908575676624,26052.3471531031174287,50015.5118383016545035
2024-08-08 19:40:00,317418.8837394114835442,0,33191.0982185546426096,18252.7063325398635739,51432.2684108210857153,50474.3914395817408704
2024-08-09 19:40:00,257320.0141655546573866,0,39451.9879025724881446,15411.930738511223096,122369.4875174969738408,42136.1126229175940174
2024-08-10 19:40:00,124385.7519114285031092,0,30091.6861592764629131,6464.3169954082811717,7097.2088185537717393,20163.3238676859540068
2024-08-11 19:40:00,126894.1382575558739872,0,28990.4556336816768456,5213.4096908317368717,7139.9923917170885226,21331.0236364163323543
2024-08-12 19:40:00,277954.8000161873548666,0,37953.1264317773923793,14889.6213575198556897,14689.0341772648062828,43907.3842699368667594
2024-08-13 19:40:00,202383.7250839786320081,0,36412.4289849345588755,14917.1202487328787989,10977.6838910457822867,31206.2916586218686699
2024-08-14 19:40:00,215327.5432286349214488,0,36399.1165778441068525,14898.6777220206799975,10867.8818014691591278,31808.463331780851714
2024-08-15 19:40:00,235436.702852816137235,0,38367.2584083447751979,13260.0875448992234792,10550.9338642297938025,32877.2230078415492012
2024-08-16 19:40:00,222110.661668681312109,0,37812.5961781959112792,12966.1269772207964408,10098.6834451648885395,31603.1937895821776787
2024-08-17 19:40:00,113005.1799868193377925,0,28799.4621638670485533,4509.1747462926253353,4417.343601202765093,13113.4069407672400695
2024-08-18 19:40:00,121759.5444079110093499,0,26276.1030192615508362,3930.6542621442178867,5591.7249392654309765,15495.6741317929257179
2024-08-19 19:40:00,187814.5983971280353914,0,31442.6304174786983814,11646.0647606094817724,7946.2067230344598517,22052.0212541304589442
2024-08-20 19:40:00,209761.8176395283928083,0,33797.6200143636185315,13541.3038199964722832,10232.0774128332887661,29962.6801546960533614
2024-08-21 19:40:00,185131.2950561468267196,0,31789.4793994994388743,11693.835634632322769,8442.6373783914036203,22571.7699544433272107
2024-08-22 19:40:00,194402.9007233088587101,0,31489.4589322190806091,12204.9333216622332088,9298.8679040655681892,24631.1304673290035148
